YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2010/05,NonMedical Emergencies,Brooklyn,4711,04:22
2010/05,NonMedical Emergencies,Queens,3654,05:16
2010/05,NonStructural Fires,Citywide,1538,04:18
2010/05,NonStructural Fires,Manhattan,373,04:12
2010/05,NonStructural Fires,Bronx,267,04:40
2010/05,NonStructural Fires,Staten Island,80,04:33
2010/05,NonStructural Fires,Brooklyn,489,03:49
2010/05,NonStructural Fires,Queens,329,04:46
2010/05,Structural Fires,Citywide,2121,03:59
2010/05,Structural Fires,Manhattan,529,04:07
2010/05,Structural Fires,Bronx,437,04:07
2010/05,Structural Fires,Staten Island,101,04:34
2010/05,Structural Fires,Brooklyn,703,03:33
2010/05,Structural Fires,Queens,351,04:21
2010/06,All Fire/Emergency Incidents,Citywide,43778,04:34
2010/06,All Fire/Emergency Incidents,Manhattan,11634,04:39
2010/06,All Fire/Emergency Incidents,Bronx,8949,04:49
2010/06,All Fire/Emergency Incidents,Staten Island,2330,04:44
2010/06,All Fire/Emergency Incidents,Brooklyn,11839,04:07
2010/06,All Fire/Emergency Incidents,Queens,9026,04:49
2010/06,False Alarm,Citywide,2695,04:21
2010/06,False Alarm,Manhattan,497,04:25
2010/06,False Alarm,Bronx,780,04:38
2010/06,False Alarm,Staten Island,202,04:09
2010/06,False Alarm,Brooklyn,434,03:52
2010/06,False Alarm,Queens,782,04:21
2010/06,Medical Emergencies,Citywide,19256,04:16
2010/06,Medical Emergencies,Manhattan,5342,04:19
2010/06,Medical Emergencies,Bronx,3519,04:24
2010/06,Medical Emergencies,Staten Island,943,04:30
2010/06,Medical Emergencies,Brooklyn,5472,03:54
2010/06,Medical Emergencies,Queens,3980,04:33
2010/06,Medical False Alarm,Citywide,460,04:14
2010/06,Medical False Alarm,Manhattan,127,04:11
2010/06,Medical False Alarm,Bronx,83,04:25
2010/06,Medical False Alarm,Staten Island,19,04:22
2010/06,Medical False Alarm,Brooklyn,124,03:55
2010/06,Medical False Alarm,Queens,107,04:32
2010/06,NonMedical Emergencies,Citywide,17689,04:59
2010/06,NonMedical Emergencies,Manhattan,4820,05:01
2010/06,NonMedical Emergencies,Bronx,3853,05:15
2010/06,NonMedical Emergencies,Staten Island,967,05:02
2010/06,NonMedical Emergencies,Brooklyn,4650,04:28
2010/06,NonMedical Emergencies,Queens,3399,05:19
2010/06,NonStructural Fires,Citywide,1741,04:19
2010/06,NonStructural Fires,Manhattan,426,04:18
2010/06,NonStructural Fires,Bronx,312,04:30
2010/06,NonStructural Fires,Staten Island,106,04:51
2010/06,NonStructural Fires,Brooklyn,496,03:56
2010/06,NonStructural Fires,Queens,401,04:30
2010/06,Structural Fires,Citywide,1937,03:58
2010/06,Structural Fires,Manhattan,422,04:01
2010/06,Structural Fires,Bronx,402,04:06
2010/06,Structural Fires,Staten Island,93,04:50
2010/06,Structural Fires,Brooklyn,663,03:32
2010/06,Structural Fires,Queens,357,04:23
2010/07,All Fire/Emergency Incidents,Citywide,47698,04:40
2010/07,All Fire/Emergency Incidents,Manhattan,12273,04:41
2010/07,All Fire/Emergency Incidents,Bronx,9960,04:57
2010/07,All Fire/Emergency Incidents,Staten Island,2410,04:43
2010/07,All Fire/Emergency Incidents,Brooklyn,13355,04:13
2010/07,All Fire/Emergency Incidents,Queens,9700,04:56
2010/07,False Alarm,Citywide,2918,04:23
2010/07,False Alarm,Manhattan,544,04:33
